method,metric,n,mean,std,min,max,ci95_low,ci95_high,ci95_half_width,cv_percent
ppo_baseline,best_return,5,120.0,164.31676725154983,0.0,400.0,-83.99350577898304,323.99350577898304,203.99350577898304,136.93063937629154
ppo_baseline,n_rooms,5,1.2,0.4472135954999579,1.0,2.0,0.6448,1.7551999999999999,0.5551999999999999,37.26779962499649
ppo_baseline,eprew,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ppo_baseline,retextmean,5,0.00010239430783999999,9.608604842370308e-05,2.9234252e-06,0.00025946135,-1.689315260762176e-05,0.00022168176828762172,0.00011928746044762175,93.83924795296814
ppo_baseline,retintmean,5,0.42187487600000007,0.03390030528537879,0.37146038,0.4509479,0.37978883549534803,0.4639609165046521,0.042086040504652034,8.035630281377264
ppo_baseline,opt_auxloss,5,0.04074351,0.006607079399804008,0.033306025,0.048887923,0.0325410525620272,0.04894596743797279,0.00820245743797279,16.216274444209663
ppo_baseline,time_elapsed,5,20903.257027626038,42.227151259970164,20831.949122667316,20940.738604545597,20850.833499773926,20955.68055547815,52.42352785211253,0.2020123046095743
ppo_baseline,updates,5,149.8,0.8366600265340756,149.0,151.0,148.76131590943157,150.83868409056845,1.038684090568446,0.5585180417450437
rnd_classic,best_return,5,20.0,44.721359549995796,0.0,100.0,-35.519999999999996,75.52,55.519999999999996,223.60679774997897
rnd_classic,n_rooms,5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
rnd_classic,eprew,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
rnd_classic,retextmean,5,0.00010376328340000003,0.00034665990662069706,-0.00036560185,0.00058533775,-0.0003266028371573279,0.0005341294039573279,0.0004303661205573279,334.0872563605644
rnd_classic,retintmean,5,0.45327450999999996,0.04230533707856314,0.39728957,0.50876313,0.4007539171952124,0.5057951028047875,0.05252059280478753,9.333270710184683
rnd_classic,opt_auxloss,5,0.03916182,0.006395959204179735,0.032524798,0.045756977,0.03122146088325458,0.04710217911674542,0.007940359116745418,16.332129620583864
rnd_classic,time_elapsed,5,24900.331766462325,43.21022221654429,24850.930233478543,24940.431436777115,24846.687790483003,24953.975742441646,53.6439759793207,0.17353271684011506
rnd_classic,updates,5,176.4,1.3416407864998738,175.0,178.0,174.7344,178.06560000000002,1.6655999999999997,0.7605673392856427
rnd_decay,best_return,5,20.0,44.721359549995796,0.0,100.0,-35.519999999999996,75.52,55.519999999999996,223.60679774997897
rnd_decay,n_rooms,5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
rnd_decay,eprew,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
rnd_decay,retextmean,5,-0.00042077157680000003,0.0009167174199101563,-0.0014651933,0.00062196114,-0.0015588441145213327,0.0007173009609213327,0.0011380725377213327,-217.86581377046957
rnd_decay,retintmean,5,0.45803827799999997,0.03819333519718684,0.40362126,0.50100577,0.41062259136871077,0.5054539646312892,0.0474156866312892,8.338459258024466
rnd_decay,opt_auxloss,5,0.0402408422,0.00591080187434059,0.03506942,0.048601307,0.0329027888991714,0.047578895500828604,0.007338053300828605,14.688564033932147
rnd_decay,time_elapsed,5,24850.04298439026,61.61069135405401,24782.538532972336,24897.72394990921,24773.555471076783,24926.530497703738,76.48751331347663,0.2479299186434214
rnd_decay,updates,5,166.0,1.224744871391589,165.0,168.0,164.47952218036565,167.52047781963435,1.520477819634341,0.7377981152961379
rnd_decay,rnd_decay,5,0.999,0.0022360679774997916,0.995,1.0,0.996224,1.001776,0.0027760000000000024,0.2238306283783575
rnd_decay,int_coeff_effective,5,0.999,0.0022360679774997916,0.995,1.0,0.996224,1.001776,0.0027760000000000024,0.2238306283783575
rnd_decay,recent_ext_mean,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
