timestamp,tcount,time_elapsed,tps,best_ret,eprew,rewtotal,n_rooms,rooms,eplen,epcount,retintmean,rewintmean_norm,rewintmean_unnorm,retextmean,recent_ext_mean,rnd_decay,int_coeff_effective,opt_auxloss,opt_ent,opt_approxkl,opt_clipfrac
2026-06-02 15:42:09,2.14e+05,477,529,0,0,0,1,[1],344,581,0.716,0.00639,0.0823,0.000853,0,1,1,0.0833,2.77,0.00119,0
2026-06-02 16:02:09,8.49e+05,1.68e+03,471,0,0,0,1,[1],393,2.39e+03,0.471,0.0047,0.0423,-0.00363,0,1,1,0.0362,2.81,0.00258,0.203
2026-06-02 16:22:09,1.47e+06,2.88e+03,520,400,1,1.9e+03,2,[1;2],445,3.66e+03,0.415,0.00415,0.0335,0.00363,0,0.942,0.942,0.0327,2.83,0.00119,0.0342
2026-06-02 16:42:09,2.09e+06,4.08e+03,537,400,0,2.1e+03,2,[1;2],431,5.07e+03,0.449,0.00442,0.031,0.000214,0,0.932,0.932,0.0296,2.78,0.00181,0.0986
2026-06-02 17:02:09,2.73e+06,5.28e+03,505,400,0,2.2e+03,2,[1;2],537,6.44e+03,0.45,0.00445,0.0278,0.00168,0,0.928,0.928,0.0271,2.76,0.00224,0.116
2026-06-02 17:22:09,3.37e+06,6.48e+03,490,400,0,2.2e+03,2,[1;2],497,7.76e+03,0.472,0.0043,0.0245,-0.00128,0,0.928,0.928,0.0242,2.77,0.00226,0.134
2026-06-02 17:42:10,4.02e+06,7.68e+03,546,400,5,3.6e+03,2,[1;2],1e+03,8.8e+03,0.472,0.00472,0.0259,0.0267,0,0.887,0.887,0.0246,2.82,0.000364,0
2026-06-02 18:02:10,4.68e+06,8.88e+03,580,400,0,4.4e+03,3,[0;1;2],478,1.02e+04,0.412,0.00443,0.0235,-0.000475,0,0.86,0.86,0.0238,2.83,0.00124,0.0225
2026-06-02 18:22:10,5.32e+06,1.01e+04,594,400,0,9.1e+03,3,[0;1;2],518,1.14e+04,0.414,0.00428,0.0222,0.00403,0,0.744,0.744,0.0221,2.8,0.000399,0
2026-06-02 18:42:10,6.01e+06,1.13e+04,607,400,19,1.98e+04,3,[0;1;2],688,1.24e+04,0.71,0.00537,0.029,0.052,0.000488,0.576,0.576,0.0191,2.74,0.000991,0.0625
2026-06-02 19:02:10,6.76e+06,1.25e+04,606,400,50,3.06e+04,3,[0;1;2],797,1.37e+04,0.411,0.00419,0.0217,0.0742,0,0.469,0.469,0.0195,2.7,0.001,0.0205
2026-06-02 19:22:10,7.44e+06,1.37e+04,609,500,224,1e+05,6,[0;1;2;5;6;7],1.1e+03,1.43e+04,1.19,0.0106,0.0587,0.336,0.00195,0.23,0.23,0.0637,2.56,0.00321,0.23
2026-06-02 19:42:10,8.06e+06,1.49e+04,527,500,426,2.46e+05,6,[0;1;2;5;6;7],1.79e+03,1.47e+04,0.98,0.0101,0.0569,0.478,0.000488,0.104,0.104,0.0546,2.54,0.0019,0.0977
2026-06-02 20:02:11,8.72e+06,1.61e+04,496,2.5e+03,583,3.63e+05,6,[0;1;2;5;6;7],2.72e+03,1.49e+04,0.645,0.00603,0.0328,0.775,0.00122,0.1,0.1,0.0321,2.55,0.00231,0.139
2026-06-02 20:22:11,9.36e+06,1.73e+04,557,2.5e+03,536,4.60e+05,6,[0;1;2;5;6;7],3.61e+03,1.51e+04,0.569,0.00513,0.0271,0.551,0.000732,0.1,0.1,0.0263,2.73,0.00292,0.166
2026-06-02 20:42:11,1e+07,1.85e+04,560,2.5e+03,525,5.63e+05,6,[0;1;2;5;6;7],3.37e+03,1.53e+04,0.489,0.00488,0.025,0.385,0.000244,0.1,0.1,0.0193,2.65,0.0025,0.146
2026-06-02 21:02:11,1.06e+07,1.97e+04,522,2.5e+03,1.64e+03,8.69e+05,6,[0;1;2;5;6;7],2.6e+03,1.56e+04,0.446,0.00402,0.0201,0.496,0.000977,0.1,0.1,0.0231,2.49,0.00447,0.245
2026-06-02 21:22:12,1.13e+07,2.09e+04,572,2.6e+03,1.94e+03,1.2e+06,6,[0;1;2;5;6;7],3.62e+03,1.58e+04,0.383,0.00608,0.0296,0.365,0.00122,0.1,0.1,0.0256,2.6,0.0025,0.137
2026-06-02 21:42:12,1.15e+07,2.21e+04,94.4,2.6e+03,1.95e+03,1.32e+06,6,[0;1;2;5;6;7],4.17e+03,1.58e+04,0.286,0.00288,0.0139,0.464,0,0.1,0.1,0.0136,2.58,0.00208,0.105
2026-06-02 22:02:12,1.19e+07,2.33e+04,118,2.6e+03,2.13e+03,1.5e+06,6,[0;1;2;5;6;7],3.93e+03,1.59e+04,0.332,0.00338,0.0161,0.308,0.000488,0.1,0.1,0.0148,2.56,0.00285,0.163
2026-06-02 22:22:12,1.25e+07,2.45e+04,599,2.6e+03,2.19e+03,1.83e+06,6,[0;1;2;5;6;7],3.88e+03,1.61e+04,0.318,0.00334,0.0156,0.392,0.00195,0.1,0.1,0.0166,2.66,0.0018,0.085
2026-06-02 22:42:13,1.28e+07,2.5e+04,559,2.6e+03,2.4e+03,1.99e+06,6,[0;1;2;5;6;7],4.29e+03,1.61e+04,0.278,0.00257,0.0119,0.471,0.00195,0.1,0.1,0.0113,2.62,0.00255,0.185
2026-06-02 23:02:13,1.28e+07,2.5e+04,559,2.6e+03,2.4e+03,1.99e+06,6,[0;1;2;5;6;7],4.29e+03,1.61e+04,0.278,0.00257,0.0119,0.471,0.00195,0.1,0.1,0.0113,2.62,0.00255,0.185
2026-06-02 23:22:13,1.28e+07,2.5e+04,559,2.6e+03,2.4e+03,1.99e+06,6,[0;1;2;5;6;7],4.29e+03,1.61e+04,0.278,0.00257,0.0119,0.471,0.00195,0.1,0.1,0.0113,2.62,0.00255,0.185
